Price,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS,HDFCBANK.NS,ICICIBANK.NS,INFY.NS,LT.NS,RELIANCE.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03,,,1379.8670654296875,1545.261474609375,3949.424560546875,1531.718017578125,,1382.544445020301,1552.406900951154,4007.754731291664,1545.2554018922647,,1355.5718853340877,1521.182551618934,3931.697801783636,1525.9446623591427,,1355.5718853340877,1522.1613705980963,3992.9989538929285,1538.0884656023031,,7955933,12895312,1123990,6090883
2025-12-04,,,1375.1070556640625,1563.7611083984375,3945.067138671875,1528.53271484375,,1379.9661155774988,1565.1314788059085,3970.4193674055587,1553.3181423785347,,1368.3639767054422,1534.7880917871573,3923.378830079243,1510.6155558800758,,1375.4045960658268,1534.7880917871573,3951.405135410527,1528.9308982335338,,7373909,12609619,1026968,11867930
2025-12-05,,,1380.858642578125,1581.9671630859375,3999.138916015625,1533.5096435546875,,1383.6352828825825,1597.2368345243183,4008.84417011926,1538.685784402705,,1369.4547830523452,1566.1103436503722,3936.649419992529,1513.6016899280953,,1369.4547830523452,1575.8985332981872,3960.318141380168,1523.356635808528,,4942638,10344725,1073758,10183266
2025-12-08,,,1377.98291015625,1576.681640625,3958.040283203125,1535.898681640625,,1383.2386505394277,1595.4749170068917,4008.7449825080844,1543.861863398969,,1371.7356508298087,1566.306063981828,3938.4317582128697,1527.9354998822807,,1375.404670384236,1582.8481284293375,4007.853784827241,1532.1161217020071,,7826227,7550413,1127841,11301491
2025-12-09,,,1363.7032470703125,1565.1314697265625,3958.832763671875,1522.3612060546875,,1372.7272676950297,1572.8641631737528,3981.015995016837,1535.4008911036892,,1361.9183677427457,1548.883099378693,3910.9010265469324,1513.1039592099478,,1368.3640275890855,1567.2848235795727,3951.405310081496,1533.211064854301,,10492030,6957599,1788464,11503971
2025-12-10,,,1352.2001953125,1551.2322998046875,3952.692626953125,1529.8267822265625,,1367.8681547535796,1573.9408513587562,3991.018237603577,1540.3779737710465,,1346.5478960855444,1549.2746619298632,3931.5986112372702,1524.3520947592017,,1366.3806948465074,1573.9408513587562,3961.3084244204233,1526.9401045329791,,8725381,5116140,957277,7991629
2025-12-11,,,1348.63037109375,1564.1527099609375,3965.170654296875,1537.889404296875,,1355.1751707435094,1573.3536321517727,3976.1633820273128,1542.8663926602953,,1341.490611666704,1547.023378030827,3946.0575343270825,1516.9860531705099,,1352.299390595187,1564.1527099609375,3954.5742024814103,1529.826707449835,,6734750,5159319,841371,4706197
2025-12-12,,,1354.5802001953125,1564.348388671875,4034.69189453125,1549.3365478515625,,1359.240859638436,1567.8722324584342,4074.205850673743,1552.62140892391,,1351.90282069391,1549.0788370408115,4009.4385524816194,1538.9843872841,,1356.5634801370334,1567.4806809838458,4021.7185122960796,1543.6628294631555,,3890885,4633912,2207898,5106655
2025-12-15,,,1353.786865234375,1572.766357421875,4052.7158203125,1549.037841796875,,1358.5467856038574,1576.6816332735752,4056.3799823899935,1551.4268205626304,,1344.7629655399599,1551.4280562362142,4024.4914967045615,1539.3825327747268,,1344.7629655399599,1551.4280562362142,4033.4044410018055,1544.060853330096,,5342530,4190558,1064975,5774543
2025-12-16,,,1354.5802001953125,1559.1607666015625,4024.491455078125,1535.201904296875,,1357.257579696715,1569.0468143358012,4064.1042986548377,1544.5585453663573,,1344.1679805012782,1552.0153403019585,4012.0132364794144,1531.7180123854912,,1352.5969202535916,1566.1103574156468,4044.1988683310005,1537.8894294536826,,12359741,5499258,2199214,11731856
2025-12-17,,,1341.0938720703125,1568.0679931640625,4023.104736328125,1537.292236328125,,1353.5885110391764,1572.8642300238714,4039.544262989653,1542.8664391614582,,1331.8715722565005,1552.4068896118622,4000.9215058784503,1532.2157323461342,,1353.5885110391764,1553.5814245843821,4039.544262989653,1542.8664391614582,,9440391,4817628,1087334,7116649
2025-12-18,,,1345.4571533203125,1592.3427734375,3992.107666015625,1537.292236328125,,1358.0509324595278,1595.4749463972676,4032.413930594411,1544.3595357154854,,1334.2515732926577,1572.6684162407605,3984.48195392906,1528.1345045583196,,1335.0449336848067,1576.3879761796316,4027.6603121627704,1528.1345045583196,,7314573,6577293,1004303,6580829
2025-12-19,,,1342.7796630859375,1603.9906005859375,4034.097412109375,1557.8968505859375,,1349.0270433350909,1619.847539612933,4051.9232997779573,1566.9549449740825,,1339.5073238052678,1595.2792073285575,4001.020583924859,1543.8617679066683,,1342.6805232986085,1615.0513027562847,4001.020583924859,1547.2461442463334,,14318512,13149023,1327935,13937275
