date,nav
20-02-2024,1088.97500
19-02-2024,1085.79100
16-02-2024,1084.74800
15-02-2024,1078.35100
14-02-2024,1074.97700
13-02-2024,1068.56000
12-02-2024,1058.55400
09-02-2024,1070.79300
08-02-2024,1071.66800
07-02-2024,1079.82700
06-02-2024,1079.48500
05-02-2024,1072.52600
02-02-2024,1071.86200
01-02-2024,1065.51900
31-01-2024,1066.72900
30-01-2024,1059.61900
29-01-2024,1070.85100
25-01-2024,1051.10700
24-01-2024,1053.87200
23-01-2024,1043.60400
19-01-2024,1060.04600
18-01-2024,1049.78900
17-01-2024,1052.19300
16-01-2024,1071.41300
15-01-2024,1075.84200
12-01-2024,1064.74200
11-01-2024,1053.55300
10-01-2024,1051.51600
09-01-2024,1049.55000
08-01-2024,1047.64800
05-01-2024,1056.92400
04-01-2024,1055.71200
03-01-2024,1045.19800
02-01-2024,1047.89700
01-01-2024,1050.31100
29-12-2023,1049.39900
28-12-2023,1051.71900
27-12-2023,1043.73800
26-12-2023,1035.30100
22-12-2023,1029.57900
21-12-2023,1024.98500
20-12-2023,1018.48700
19-12-2023,1036.61400
18-12-2023,1033.07000
15-12-2023,1035.05800
14-12-2023,1024.96200
13-12-2023,1013.53900
12-12-2023,1007.90200
11-12-2023,1013.77200
08-12-2023,1010.66900
07-12-2023,1006.63500
06-12-2023,1008.25800
05-12-2023,1005.57500
04-12-2023,998.32000
01-12-2023,978.72500
30-11-2023,967.74800
29-11-2023,963.90200
28-11-2023,954.09100
24-11-2023,949.59400
23-11-2023,948.97100
22-11-2023,949.60400
21-11-2023,948.55400
20-11-2023,945.73800
17-11-2023,945.77000
16-11-2023,948.38200
15-11-2023,945.37600
13-11-2023,935.49300
10-11-2023,930.68000
09-11-2023,927.77200
08-11-2023,927.42600
07-11-2023,926.05700
06-11-2023,924.62000
03-11-2023,917.02000
02-11-2023,911.74900
01-11-2023,901.88900
31-10-2023,905.52700
30-10-2023,908.47100
27-10-2023,905.35400
26-10-2023,893.69100
25-10-2023,903.49300
23-10-2023,911.54600
20-10-2023,924.28800
19-10-2023,928.06000
18-10-2023,931.05300
17-10-2023,937.88500
16-10-2023,934.67900
13-10-2023,934.84600
12-10-2023,935.40000
11-10-2023,934.89100
10-10-2023,930.65900
09-10-2023,920.16500
06-10-2023,926.32300
